amount,companyId,date,donorName,donorType,party,year,donor_has_won_tenders,amountString,dateOriginal
100.0,,2022-09-07,SEZIX КОТРАПУ D.O.O. ŽIVINICE,company,K-008 SDP BIH,2022,,,
2000.0,4303201820003,2020-11-16,SFS GROUP SARAJEVO,company,K-2317 NAROD I PRAVDA,2020,True,,
3510.0,,2020-12-17,ŠKREBIĆ COMPANY D.O.O.,company,K-2447 SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2020,,,
100.0,,2020-08-26,SOK KUPRUM VITEZ,company,K-027 HDZ BIH,2020,,,
1000.0,,2022-06-10,SKSPED D.O.O. SARAJEVO,company,K-008 SDP BIH,2022,,,
1000.0,,2020-11-09,COTEX,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
1000.0,,2020-10-28,COTEX DOO,company,K-2317 NAROD I PRAVDA,2020,,,
500.0,,2018-08-29,SOVVOOD DOO,company,K-008 SDP BIH,2018,,,
300.0,,2018-10-04,SPEC. GINEKOLOŠKA ORDINACIJA,company,K-008 SDP BIH,2018,,,
1000.0,,2020-11-09,COTEX DОО SREBRENIK,company,K-2622 PO ZAJEDNO ZA BOLJI SREBRENIK,2020,,,
300.0,,2020-10-23,SS СОТРАПУ D.O.O.,company,K-008 SDP BIH,2020,,,
500.0,,2020-09-08,STROJOPROMET DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
300.0,,2018-09-10,STROJOPROMET DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
10000.0,,2018-03-21,ŠARAJ D.O.O.,company,K-2328 NEZAVISNA BH LISTA,2018,,,
10000.0,,2018-07-04,ŠARAJ D.O.O.,company,K-2328 NEZAVISNA BH LISTA,2018,,,
1000.0,4209165670001,2020-10-02,SRMA D.O.O. GRAČANICA,company,K-008 SDP BIH,2020,True,,
100.0,,2018-12-31,T.R.RULE TOLISA,company,K-769 HDZ 1990,2018,,,
400.0,,2022-06-07,TAG DOO,company,K-2317 NAROD I PRAVDA,2022,,,
300.0,,2022-09-16,TAHO SAAM DOO CERIK,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
200.0,,2018-07-17,"TAHO SAAM DOO, BRČKO",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,,,
200.0,,2020-10-05,"TAHO SAAM DOO, BRČKO",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2020,,,
400.0,,2018-08-20,TAHO-SAAM DOO CERIK,company,K-882 A-SDA,2018,,,
10000.0,,2020-12-31,TAMEH ДОО,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
1000.0,,2023-06-16,TATAREVIĆ DOO SANSKI MOST,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2023,,,
10000.0,4403491970008,2021-06-16,TAT-COM D.O.O. SRBAC,company,K-515 SAVEZ NEZAVISNIH SOCIJALDEMOKRATA,2021,True,,
5000.0,,2018-09-07,TC BAŠČARŠIJA,company,K-2328 NEZAVISNA BH LISTA,2018,,,
3000.0,,2021-02-02,TEHNOPROM-SRBAC,company,K-1718 NARODNI DEMOKRATSKI POKRET,2021,,,
4000.0,,2022-12-31,TERASIT INSULATION,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
3000.0,,2018-09-18,TERASIT INSULATION,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
1000.0,,2019-12-23,TERASIT INSULATION,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
700.0,,2018-04-25,TERASIT INSULATION,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
250.0,,2020-11-10,TERMOELEKTRO D.O.O. BRČKO,company,K-1698 DEMOKRATSKA FRONTA,2020,,,
2000.0,,2020-10-20,TERRASIT INSULATION,company,K-008 SDP BIH,2020,,,
10000.0,,2022-09-21,THE HEADHUNTER D.O.O.,company,K-1698 DEMOKRATSKA FRONTA,2022,,,
700.0,,2018-09-18,TIFFANY DOO DOBOJ JUG,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
3000.0,4218138690008,2020-10-21,TISAKOMERC D.O.O. ZEPCE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
4000.0,,2018-10-08,,company,K-008 SDP BIH,2018,,,
10000.0,4209094550000,2018-10-04,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-008 SDP BIH,2018,True,,
6000.0,4209094550000,2022-09-12,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-008 SDP BIH,2022,True,,
4000.0,4209094550000,2022-05-25,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-008 SDP BIH,2022,True,,
3000.0,4209094550000,2022-09-08,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-2711 SOCIJALDEMOKRATE BIH,2022,True,,
1000.0,4209094550000,2018-09-06,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-2314 NEZAVISNI BLOK,2018,True,,
10000.0,4209094550000,2022-09-21,"TMD-HANIBAL D.O.O. ZA PROIZVODNJU, PROMET I USLUGE GRADAČAC",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
5000.0,4600077990005,2018-10-05,TMD MIBO DOO,company,K-008 SDP BIH,2018,,,
500.0,,2018-08-30,TMD MIBO DOO,company,K-008 SDP BIH,2018,,,
1000.0,,2018-07-27,"TOP ŠPED, GRADAČAC",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,,,
500.0,,2022-08-25,TR BUTIK INVICTUS TUZLA,company,K-008 SDP BIH,2022,,,
300.0,,2020-10-27,TRANS COMMERCE MIŠKOVIĆ,company,K-027 HDZ BIH,2020,,,
500.0,,2018-02-01,TRANS-MINERAL D.O.O. JAJCE,company,K-027 HDZ BIH,2018,,,
1000.0,,2019-12-31,TRAVNIK TRANS,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
300.0,4218057690003,2020-10-16,TRGOŠPED D.O.O. KAKANJ,company,K-1698 DEMOKRATSKA FRONTA,2020,True,,
5000.0,,2018-05-18,TRIVAS MI PRNJAVOR,company,K-018 SDS,2018,,,
200.0,,2022-12-31,TSP POUSORJE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
200.0,,2019-09-23,TSP POUSORJE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
2000.0,4218217300002,2020-10-08,ERDI D.O.O. ZAVIDOVIĆI,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
16350.0,,2024-03-28,"UDRUGA GRAĐANA ""SAMOSTALNI""",company,K-70024 RAMSKA NARODNA STRANKA,2024,,,
200.0,,2023-04-12,UDRUŽENJE GRADJANA SVETIONIK BANJA LUKA,company,K-2747 SAVEZ PENZIONERA I POTOMAKA,2023,,,
3810.0,,2019-02-25,UNIBAU DOO KLOKOTNICA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
2000.0,4227117090000,2022-09-12,UNIKOMERC DOO,company,K-008 SDP BIH,2022,True,,
500.0,,2020-12-31,UR RESTORAN BAŠČARŠIJA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
500.0,,2022-12-31,UR ZDRAVLJAK IMPERIA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
500.0,,2020-12-31,UR ZDRAVLJAK IMPERIA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
1500.0,4236155680006,2020-10-30,"UTD""TURIST98""D.O.O",company,K-027 HDZ BIH,2020,True,,
2000.0,,2018-10-04,VEGAMIX D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
400.0,,2018-09-03,VEGAMIX D.O.O.,company,K-2314 NEZAVISNI BLOK,2018,,,
2000.0,,2019-05-27,VEREN STAN DOO,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2019,,,
200.0,,2020-09-18,VETERINARSKA STANICA FAUNA,company,K-027 HDZ BIH,2020,,,
1000.0,,2022-06-01,VF KORNERE D.O.O SARAJEVO,company,K-008 SDP BIH,2022,,,
1000.0,,2022-06-15,VIALE DOO,company,K-2317 NAROD I PRAVDA,2022,,,
1000.0,,2023-01-13,VILLA ADRIANA PU BIHAĆ,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2023,,,
1500.0,,2022-07-22,VILLAADRIANA PU BIHAĆ,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,,,
1000.0,,2020-09-18,VILLAADRIANA PU BIHAĆ,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,,,
2000.0,,2022-09-27,VISKON D.O.O. VELIKA KLADUŠA,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,,,
500.0,,2022-06-27,VITAMINKA A.D. BANJA LUKA,company,K-2747 SAVEZ PENZIONERA I POTOMAKA,2022,,,
1000.0,,2020-12-31,VIVO DIZAJN DOO ŽIVINICE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
3000.0,4236487410002,2019-12-31,"GPPD ""VLAŠIĆ-GRADNJA"" DOO TRAVNIK",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
1000.0,4236487410002,2020-12-31,"GPPD ""VLAŠIĆ-GRADNJA"" DOO TRAVNIK",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4600050440003,2020-12-31,VOĆAR D.O.O. BRCKO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
10000.0,,2020-10-16,VVAGNER AUTOMOTIV,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,,,
300.0,,2022-08-18,VVINDELS D.O.O. ŽIVINICE,company,K-008 SDP BIH,2022,,,
3000.0,,2022-09-21,VVORTMAN METAL DOO,company,K-2622 PO ZAJEDNO ZA BOLJI SREBRENIK,2022,,,
1000.0,,2020-10-26,W.B.E. D.O.O. BIHAĆ,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,,,
100.0,,2018-09-10,WIND DOO,company,K-008 SDP BIH,2018,,,
5000.0,,2023-03-20,ZIM D.O.O. GACKO,company,K-461 DEMOKRATSKI NARODNI SAVEZ,2023,,,
5000.0,,2018-09-05,ZIN INVEST D.O.O.,company,K-2328 NEZAVISNA BH LISTA,2018,,,
5000.0,,2022-08-18,ZIN INVEST D.O.O.,company,K-1705 HRVATSKA REPUBLIKANSKA STRANKA,2022,,,
500.0,,2021-04-19,ZIN INVEST D.O.O.,company,K-1705 HRVATSKA REPUBLIKANSKA STRANKA,2021,,,
3000.0,,2020-12-15,ZIN INVEST D.O.O.,company,K-1705 HRVATSKA REPUBLIKANSKA STRANKA,2020,,,
1000.0,,2020-09-25,ZIN INVEST D.O.O.,company,K-2328 NEZAVISNA BH LISTA,2020,,,
1000.0,,2019-12-31,ZVRKO DOO TRAVNIK,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
5000.0,4209024000002,2022-09-27,MAPEX D.O.O. ŽIVINICE,company,K-008 SDP BIH,2022,True,,
3000.0,4209024000002,2022-09-26,MAPEX D.O.O. ŽIVINICE,company,K-008 SDP BIH,2022,True,,
2000.0,4209024000002,2022-09-01,MAPEX D.O.O. ŽIVINICE,company,K-008 SDP BIH,2022,True,,
1000.0,4209024000002,2018-09-19,MAPEX D.O.O. ŽIVINICE,company,K-008 SDP BIH,2018,True,,
300.0,4209024000002,2023-05-29,MAPEX D.O.O. ŽIVINICE,company,K-008 SDP BIH,2023,True,,
1000.0,4209024000002,2018-08-31,MAPEX D.O.O. ŽIVINICE,company,K-2314 NEZAVISNI BLOK,2018,True,,
1000.0,4201200020006,2022-06-02,MAX MEDIA D.O.O. SARAJEVO,company,K-008 SDP BIH,2022,True,,
2000.0,,2020-11-11,СОМРЕХ PACKD.O.O.,company,K-440 PDP,2020,,,
300.0,,2018-10-04,ТАC KOMERC BRČKO,company,K-074 SOCIJALISTIČKA PARTIJA,2018,,,
27614.0,,,NENAD NEŠIĆ,person,DNS,,,,
15000.0,,2022-11-02,FAHRUDIN PECIKOZA,person,SBB BIH,2022,,,
15000.0,,2023-03-30,BOGDAN JOVANOVIĆ,person,STRANKA ŽIVOT,2023,,,
15000.0,,2022-05-16,NEBOJŠA VUKANOVIĆ,person,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,2022,,,
14976.0,,2022-11-02,SENAD SALKIĆ,person,SBB BIH,2022,,,
14952.0,,2022-11-02,ADNAN (ĆAMIL) JUPIĆ,person,SBB BIH,2022,,,
13990.0,,2022-11-02,MIRVAD KURIĆ,person,SBB BIH,2022,,,
13331.79,,2022-07-05,AMELA OWEN,person,PLATFORMA ZA PROGRES,2022,,,
10500.0,,2022-12-01,AMER HADŽIKADIĆ,person,PLATFORMA ZA PROGRES,2022,,,
10300.0,,2022-09-28,NINELA HADŽIKADIĆ,person,PLATFORMA ZA PROGRES,2022,,,
10300.0,,2022-11-02,SEĐAD MUHIĆ,person,SBB BIH,2022,,,
10200.0,,2022-05-19,LUKA KECMAN,person,SLOBODNA STRANKA SRPSKE,2022,,,
10000.0,,2023-03-29,ALEKSANDAR DOŠIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,DRAGAN TALIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,DRAGOMIR KESEROVIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,MATEJ SAVIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,MIHAJLO TRAVAR,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,MILENKO JAĆIMOVIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,SLOBODAN ZEC,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,VINKO LOLIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,ZLATKO JURIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2023-03-29,ŽELjKO SAVIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
10000.0,,2022-05-19,MARIJA LOVRIĆ,person,HSP DR.ANTE STARČEVIĆ BIH,2022,,,
10000.0,,2022-07-12,BOŽIDAR NIKOLETIĆ,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-05-17,DARKO KREMENOVIĆ,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-10-14,MARKO TANKOŠIĆ,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-05-17,MILAN ŠUVAK,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-09-26,OLIVERA BRDAR MIRKOVIC,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-05-16,SINIŠA NIKIĆ,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-05-17,VESNA CVIJETINOVIC,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
10000.0,,2022-05-26,ARMINAČERKIĆ,person,NAŠA STRANKA,2022,,,
10000.0,,2022-05-09,MILAD ČERKIĆ,person,NAŠA STRANKA,2022,,,
10000.0,,2022-09-02,IGOR CRNADAK,person,PDP,2022,,,
10000.0,,2022-09-28,AIDA ZILDŽIĆ-MORALIĆ,person,PLATFORMA ZA PROGRES,2022,,,
10000.0,,2022-09-21,JASMIN MALIĆBEGOVIĆ,person,POKRET DEMOKRATSKE AKCIJE,2022,,,
10000.0,,2022-11-02,EDIN MEMIĆ,person,SBB BIH,2022,,,
10000.0,,2022-11-02,MIRZA TELETOVIĆ,person,SBB BIH,2022,,,
10000.0,,2022-12-31,ADISA ŠINDRO,person,SDA,2022,,,
10000.0,,2022-12-31,AMIN ALKASIMY,person,SDA,2022,,,
10000.0,,2022-12-31,ANIS ŠKAMO,person,SDA,2022,,,
10000.0,,2022-12-31,ASIM KAMBER,person,SDA,2022,,,
10000.0,,2022-12-31,ĐENANA HIMZANIJA,person,SDA,2022,,,
10000.0,,2022-12-31,EDIN RAMIĆ,person,SDA,2022,,,
10000.0,,2022-12-31,JASMIN JUGOVIĆ,person,SDA,2022,,,
10000.0,,2022-12-31,ŠAĆIR HODŽIĆ,person,SDA,2022,,,
10000.0,,2022-09-29,ALEKSANDAR BODIROGA,person,SNSD,2022,,,
10000.0,,2022-09-08,ALEKSANDAR SUBOTIĆ,person,SNSD,2022,,,
10000.0,,2022-10-03,ALEKSANDRA POPOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,BOJAN ČVORO,person,SNSD,2022,,,
10000.0,,2022-09-12,BOJAN POPOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,BOJAN VUČUREVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,BORISLAV RAKIĆ,person,SNSD,2022,,,
10000.0,,2022-09-22,BRANKICA ZELIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,DANIJEL RAŠOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,DARIO NARIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,DAVORKA KATANA,person,SNSD,2022,,,
10000.0,,2022-09-12,DEJAN JOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,DEJAN NARIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,DRAGAN KURTINOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-22,DRAGAN STANKOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-21,JOVAN MIŠIĆ,person,SNSD,2022,,,
10000.0,,2022-09-19,LjILjANA PATKOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-09,MAPA ГРАНУЛА,person,SNSD,2022,,,
10000.0,,2022-09-23,MILADIN JANjIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,MILAN PEULIĆ,person,SNSD,2022,,,
10000.0,,2022-09-07,MILENA ŠARČEVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,MIODRAG MIŠIĆ,person,SNSD,2022,,,
10000.0,,2022-09-07,MIROSLAV BOJIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,MIROSLAV MLINAREVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,NEDELjKO LAMBETA,person,SNSD,2022,,,
10000.0,,2022-09-23,NEMANjA DOJČINOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,NENAD MILIČEVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,PETAR JELIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,PREDRAG VREĆA,person,SNSD,2022,,,
10000.0,,2022-09-22,RANKA KOVAČEVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-07,SAŠA VANOVAC,person,SNSD,2022,,,
10000.0,,2022-09-08,SLAĐANA OSTOJIĆ,person,SNSD,2022,,,
10000.0,,2022-09-22,SLAVKO KOVAČEVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,SPASOJE RADOVIĆ,person,SNSD,2022,,,
10000.0,,2022-09-09,SRĐAN TRIPIĆ,person,SNSD,2022,,,
10000.0,,2022-09-08,VANjA TANASIĆ,person,SNSD,2022,,,
10000.0,,2022-09-23,VESELIN DUTINA,person,SNSD,2022,,,
10000.0,,2022-10-07,RADA GVERIĆ,person,SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2022,,,
10000.0,,2022-09-15,ASIM ČAJLAKOVIĆ,person,STRANKA ZA BIH,2022,,,
10000.0,,2022-09-08,SENAD ČELJO,person,STRANKA ZA BIH,2022,,,
10000.0,,2023-03-30,ADRIJANA KRUNIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,DANE TRIFUNOVIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,DRAŽEN IVANOVIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,MAJA ŠIPKA,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,NEMANJA BERIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,SLOBODAN RATKOVIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,SNJEŽANA LAZIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2023-03-30,ŽELJKO OJDANIĆ,person,STRANKA ŽIVOT,2023,,,
10000.0,,2022-05-23,MIRJANA LAZIĆ,person,UJEDINJENA SRPSKA,2022,,,
10000.0,,2022-05-24,NATALIJA TRIVIĆ,person,UJEDINJENA SRPSKA,2022,,,
10000.0,,2022-09-19,SINIŠA VIDOVIĆ,person,UJEDINJENA SRPSKA,2022,,,
10000.0,,2022-09-29,BERIN MESIHOVIĆ,person,ZA NOVE GENERACIJE,2022,,,
9990.0,,2022-05-20,JOVICA VLATKOVIĆ,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
9990.0,,2022-09-06,MILAN ŠUVAK,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
9990.0,,2022-11-16,NARCISA HADŽAJLIĆ,person,PLATFORMA ZA PROGRES,2022,,,
9990.0,,2022-09-08,SLAVKO TEŠIĆ,person,SNSD,2022,,,
9980.0,,2022-09-12,PETRA MIĆIĆ,person,SNSD,2022,,,
9970.0,,2022-09-28,ŠEJLA HADŽIKADIĆ-KADRIĆ,person,PLATFORMA ZA PROGRES,2022,,,
9950.0,,2022-05-06,DARKO BANJAC,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
9900.0,,2023-03-29,MILAN DAKIĆ,person,DEMOKRATSKI SAVEZ,2023,,,
9900.0,,2022-12-31,ALE MUJEZINOVIĆ,person,SDA,2022,,,
9900.0,,2022-09-22,ADIS BUBALO,person,STRANKA ZA BIH,2022,,,
9850.0,,2022-05-18,DAMIR IVANKOVIĆ,person,NS RADOM ZA BOLJITAK,2022,,,
9800.0,,2022-05-17,BRANISLAV ŠKOBO,person,NARODNA PARTIJA SRPSKE-DARKO BANJAC,2022,,,
9800.0,,2022-12-31,EDIN DOMAZET,person,SDA,2022,,,
9800.0,,2022-10-03,KRESO SAMIR,person,STRANKA ZA BIH,2022,,,
9800.0,,2022-09-26,SAFET OMEROVIĆ,person,STRANKA ZA BIH,2022,,,
9800.0,,2022-09-30,SENAD ZENIČANIN,person,STRANKA ZA BIH,2022,,,
9779.15,,2022-07-05,BEKIR JUSUFBAŠIĆ,person,PLATFORMA ZA PROGRES,2022,,,
9651.62,,2022-09-07,MIRSAD HADŽIKADIĆ,person,PLATFORMA ZA PROGRES,2022,,,
9600.0,,2022-11-02,EDIN ROVČANIN,person,SBB BIH,2022,,,
9500.0,,2022-12-31,IZET ŽIGIĆ,person,SBB BIH,2022,,,
9500.0,,2022-05-25,MILENKO ROSIĆ,person,UJEDINJENA SRPSKA,2022,,,
9150.0,,2022-05-18,MAGDALENA IVANKOVIĆ-LIJANOVIĆ,person,NS RADOM ZA BOLJITAK,2022,,,
9132.37,,2022-12-05,ALJOŠA ČAMPARA,person,NAROD I PRAVDA,2022,,,
9000.0,,2022-09-09,SAUD KARIĆ,person,NAŠA STRANKA,2022,,,
9000.0,,2022-11-02,EMINA IDRIZOVIĆ,person,SBB BIH,2022,,,
9000.0,,2022-12-31,NIZAMA BUBIĆ,person,SDA,2022,,,
9000.0,,2022-09-16,SAVO CVIJETINOVIĆ,person,SNSD,2022,,,
9000.0,,2022-09-16,STEVAN SANDIĆ,person,SNSD,2022,,,
9000.0,,2022-07-12,BILjANA VIDOVIĆ,person,UJEDINJENA SRPSKA,2022,,,
9000.0,,2022-08-30,BRANKO PAVLOVIĆ,person,UJEDINJENA SRPSKA,2022,,,
9000.0,,2022-08-29,ŽELjKO VRKAČEVIĆ,person,UJEDINJENA SRPSKA,2022,,,
8900.0,,2022-12-31,HAZIM BAHTANOVIĆ,person,SDA,2022,,,
8750.0,,2022-08-26,DRAGAN STEVANOVIĆ,person,REPUBLIČKA STRANKA SRPSKE,2022,,,
8700.0,,2022-12-31,MIRALEM ŠURKOVIĆ,person,SDA,2022,,,
8699.0,,2022-12-31,ELDIN DELIĆ,person,SDA,2022,,,
8650.0,,2022-09-22,DZENAN DJONLAGIC,person,DEMOKRATSKA FRONTA,2022,,,
8500.0,,2022-12-16,KENAN RIZVANOVIC,person,NAROD I PRAVDA,2022,,,
8415.84,,2022-10-07,RATOMIR DRAGANIĆ,person,REPUBLIČKA STRANKA SRPSKE,2022,,,
8400.0,,2022-08-15,MIRSAD ČAMDŽIĆ,person,NAŠA STRANKA,2022,,,
8100.0,,2022-05-19,DANILO PETROVIĆ,person,SLOBODNA STRANKA SRPSKE,2022,,,
8100.0,,2022-05-16,BERNANDA SELAK,person,SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2022,,,
8049.86,,2022-12-31,SAFET SOFTIĆ,person,SDA,2022,,,
8000.0,,2022-12-31,SENAD SELIMOVIĆ,person,A-sda,2022,,,
8000.0,,2022-09-21,MROSLAV BORENOVIĆ,person,PDP,2022,,,
8000.0,,2022-09-05,FIKRET POLJAREVIĆ,person,SDP BIH,2022,,,
8000.0,,2022-07-22,MLADEN BOSIĆ,person,SDS,2022,,,
8000.0,,2022-09-16,LjUBIŠA GORNIK,person,SNSD,2022,,,
8000.0,,2022-05-16,MILAN MILAKOVIĆ,person,SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2022,,,
8000.0,,2022-05-16,ŠAŠA KONDIĆ,person,SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2022,,,
7950.0,,2022-09-07,BRANKICA ĐAKOVIĆ,person,PDP,2022,,,
7934.94,,2022-12-31,ALMA ČOLO,person,SDA,2022,,,
7886.5,,2022-12-31,NEDŽAD BRANKOVIĆ,person,SDA,2022,,,
7593.0,,2022-12-09,IVAN PETROVIĆ,person,REPUBLIČKA STRANKA SRPSKE,2022,,,
7500.0,,2022-09-22,ADNAN GADŽO,person,NAROD I PRAVDA,2022,,,
7500.0,,2022-09-22,DINO OKERIĆ,person,NAROD I PRAVDA,2022,,,
7500.0,,2022-11-08,NEIRA ČENGIĆ,person,ZA NOVE GENERACIJE,2022,,,
7350.0,,2022-12-31,MERSIHA SLIPČEVIĆ,person,SBB BIH,2022,,,
7300.0,,2022-12-31,ISMET BEĆAR,person,SDA,2022,,,
7134.35,,2022-12-31,ELDAR ČOMOR,person,SDA,2022,,,
7082.29,,2022-12-31,SALKO ZILDŽIĆ,person,SDA,2022,,,
7073.87,,2022-12-31,KENELA ZUKO,person,SDA,2022,,,
7000.0,,2022-09-08,BRANISLAV BORENOVIĆ,person,PDP,2022,,,
7000.0,,2022-09-21,DARKO VUČKOVIĆ,person,PDP,2022,,,
7000.0,,2022-09-01,MILENKO RISTIĆ,person,PDP,2022,,,
7000.0,,2022-09-01,SINIŠA GOLIĆ,person,PDP,2022,,,
7000.0,,2022-06-21,DANIEL PERIĆ,person,REPUBLIČKA STRANKA SRPSKE,2022,,,
7000.0,,2022-12-31,AMIR ŠEĆIBOVIĆ,person,SDA,2022,,,
7000.0,,2022-12-31,AZUR KOŠEVIĆ,person,SDA,2022,,,
7000.0,,2022-12-31,MUSTAFA MUSABEGOVIĆ,person,SDA,2022,,,
7000.0,,2022-12-31,ŠERIF ŠPAGO,person,SDA,2022,,,
7000.0,,2022-09-16,MILAN SRDIĆ,person,SNSD,2022,,,
